2% Long Anneal

wavelength (microns), Re(index)
1.6, 1.47736
1.59914, 1.47738
1.59914, 1.47738
1.59904, 1.47738
1.59808, 1.47739
1.59712, 1.4774
1.59617, 1.47741
1.5957, 1.47742
1.5957, 1.47742
1.59521, 1.47742
1.59425, 1.47743
1.5933, 1.47744
1.59235, 1.47745
1.59226, 1.47745
1.59226, 1.47745
1.5914, 1.47746
1.59045, 1.47746
1.5895, 1.47747
1.58883, 1.47747
1.58883, 1.47747
1.58855, 1.47748
1.5876, 1.47748
1.58666, 1.47749
1.58571, 1.47749
1.58539, 1.47749
1.58539, 1.47749
1.58477, 1.4775
1.58383, 1.4775
1.58289, 1.47751
1.58195, 1.47751
1.58195, 1.47751
1.58195, 1.47751
1.58101, 1.47752
1.58007, 1.47752
1.57913, 1.47752
1.57851, 1.47753
1.57851, 1.47753
1.5782, 1.47753
1.57726, 1.47753
1.57633, 1.47753
1.57633, 1.47753
1.5754, 1.47754
1.57507, 1.47754
1.57507, 1.47754
1.57447, 1.47754
1.57354, 1.47754
1.57261, 1.47755
1.57168, 1.47755
1.57163, 1.47755
1.57163, 1.47755
1.57075, 1.47755
1.56983, 1.47756
1.5689, 1.47756
1.56819, 1.47756
1.56819, 1.47756
1.56798, 1.47756
1.56706, 1.47756
1.56614, 1.47757
1.56522, 1.47757
1.56475, 1.47757
1.56475, 1.47757
1.5643, 1.47757
1.56338, 1.47758
1.56246, 1.47758
1.56155, 1.47758
1.56131, 1.47758
1.56131, 1.47758
1.56063, 1.47759
1.55972, 1.47759
1.55881, 1.47759
1.55789, 1.4776
1.55787, 1.4776
1.55787, 1.4776
1.55698, 1.4776
1.55607, 1.4776
1.55517, 1.47761
1.55442, 1.47761
1.55442, 1.47761
1.55426, 1.47761
1.55335, 1.47761
1.55335, 1.47761
1.55245, 1.47762
1.55154, 1.47762
1.55098, 1.47762
1.55098, 1.47762
1.55064, 1.47762
1.54974, 1.47763
1.54884, 1.47763
1.54794, 1.47763
1.54754, 1.47764
1.54754, 1.47764
1.54704, 1.47764
1.54614, 1.47764
1.54524, 1.47764
1.54435, 1.47765
1.5441, 1.47765
1.5441, 1.47765
1.54345, 1.47765
1.54256, 1.47766
1.54167, 1.47766
1.54078, 1.47766
1.54065, 1.47766
1.54065, 1.47766
1.53988, 1.47767
1.53899, 1.47767
1.53811, 1.47768
1.53722, 1.47768
1.53721, 1.47768
