Opt. Const. of Cauchy Film vs. nm,
nm,n
316.513,1.483005
318.104126,1.482717
319.695313,1.482432
321.28656,1.482149
322.877899,1.481868
324.469299,1.48159
326.06073,1.481313
327.652222,1.481039
329.243774,1.480768
330.835388,1.480498
332.427063,1.48023
334.018799,1.479965
335.610596,1.479702
337.202454,1.479442
338.794342,1.479183
340.386292,1.478926
341.978302,1.478672
343.570374,1.47842
345.162476,1.47817
346.754639,1.477923
348.346832,1.477677
349.939087,1.477434
351.531403,1.477192
353.123749,1.476953
354.716156,1.476716
356.308624,1.476481
357.901093,1.476248
359.493652,1.476017
361.086243,1.475788
362.678864,1.475561
364.271515,1.475336
365.864227,1.475114
367.45697,1.474893
369.049774,1.474674
370.642609,1.474457
372.235474,1.474242
373.828369,1.474029
375.421326,1.473818
377.014313,1.473609
378.60733,1.473402
380.200378,1.473196
381.793457,1.472992
383.386566,1.472791
384.979706,1.472591
386.572906,1.472393
388.166107,1.472196
389.759338,1.472002
391.352631,1.471809
392.945953,1.471618
394.539276,1.471428
396.132629,1.471241
397.726013,1.471055
399.319427,1.47087
400.912872,1.470688
402.506317,1.470507
404.099792,1.470327
405.693298,1.470149
407.286835,1.469973
408.880402,1.469799
410.473969,1.469626
412.067566,1.469454
413.661194,1.469284
415.254791,1.469116
416.84845,1.468949
418.442078,1.468783
420.035797,1.46862
421.629486,1.468457
423.223206,1.468296
424.816895,1.468136
426.410645,1.467978
428.004395,1.467821
429.598145,1.467666
431.191956,1.467512
432.785706,1.467359
434.379486,1.467208
435.973297,1.467058
437.567078,1.466909
439.16095,1.466762
440.75473,1.466616
442.348541,1.466471
443.942383,1.466328
445.536224,1.466186
447.130066,1.466045
448.723938,1.465905
450.317719,1.465766
451.91156,1.465629
453.505432,1.465493
455.099274,1.465358
456.693115,1.465224
458.286957,1.465091
459.880798,1.46496
461.474609,1.464829
463.068451,1.4647
464.662292,1.464572
466.256104,1.464445
467.849915,1.464319
469.443695,1.464194
471.037506,1.46407
472.631287,1.463947
474.225098,1.463826
475.818848,1.463705
477.412598,1.463585
479.006348,1.463467
480.600098,1.463349
482.193787,1.463232
483.787506,1.463117
485.381195,1.463002
486.974915,1.462888
488.568542,1.462775
490.162201,1.462664
491.755798,1.462553
493.349426,1.462443
494.943024,1.462333
496.53656,1.462225
498.130127,1.462118
499.723633,1.462012
501.317139,1.461906
502.910645,1.461801
504.504089,1.461697
506.097504,1.461595
507.690918,1.461492
509.284332,1.461391
510.877625,1.461291
512.471008,1.461191
514.064331,1.461092
515.657593,1.460994
517.250793,1.460897
518.843994,1.4608
520.437134,1.460705
522.030334,1.46061
523.623413,1.460516
525.216492,1.460422
526.80957,1.46033
528.402588,1.460238
529.995544,1.460146
531.588501,1.460056
533.181396,1.459966
534.774231,1.459877
536.367065,1.459789
537.959839,1.459701
539.552612,1.459614
541.145325,1.459528
542.737915,1.459442
544.330566,1.459357
545.923157,1.459273
547.515686,1.459189
549.108154,1.459106
550.700562,1.459024
552.29303,1.458942
553.885376,1.458861
555.477661,1.458781
557.069885,1.458701
558.662109,1.458622
560.254272,1.458543
561.846313,1.458465
563.438354,1.458388
565.030396,1.458311
566.622314,1.458235
568.214233,1.458159
569.80603,1.458084
571.397827,1.45801
572.989563,1.457936
574.581238,1.457862
576.172852,1.457789
577.764404,1.457717
579.355835,1.457645
580.947327,1.457574
582.538696,1.457503
584.130005,1.457433
585.721252,1.457363
587.312378,1.457294
588.903564,1.457226
590.494568,1.457158
592.085571,1.45709
593.676514,1.457023
595.267395,1.456956
596.858154,1.45689
598.448853,1.456824
600.039551,1.456759
601.630127,1.456694
603.220642,1.45663
604.811096,1.456566
606.401489,1.456503
607.99176,1.45644
609.58197,1.456378
611.172119,1.456316
612.762207,1.456254
614.352173,1.456193
615.942139,1.456133
617.531982,1.456072
619.121704,1.456012
620.711426,1.455953
622.301086,1.455894
623.890564,1.455836
625.480042,1.455778
627.069397,1.45572
628.658691,1.455662
630.247925,1.455606
631.837036,1.455549
633.426025,1.455493
635.015015,1.455437
636.603882,1.455382
638.192627,1.455327
639.781311,1.455272
641.369934,1.455218
642.958435,1.455164
644.546814,1.455111
646.135132,1.455058
647.72345,1.455005
649.311584,1.454953
650.899597,1.454901
652.48761,1.454849
654.075439,1.454798
655.663208,1.454747
657.250854,1.454696
658.838501,1.454646
660.425903,1.454596
662.013306,1.454546
663.600586,1.454497
665.187805,1.454448
666.774841,1.454399
668.361877,1.454351
669.94873,1.454303
671.535522,1.454256
673.122192,1.454208
674.70874,1.454161
676.295227,1.454115
677.881531,1.454068
679.467834,1.454022
681.053955,1.453976
682.640015,1.453931
684.225952,1.453886
685.811707,1.453841
687.397461,1.453796
