Opt. Const. of Cauchy Film vs. nm,,,
nm,n,,
316.513,1.483005,3.16513E-07,1.483005
318.104126,1.482717,3.18104E-07,1.482717
319.695313,1.482432,3.19695E-07,1.482432
321.28656,1.482149,3.21287E-07,1.482149
322.877899,1.481868,3.22878E-07,1.481868
324.469299,1.48159,3.24469E-07,1.48159
326.06073,1.481313,3.26061E-07,1.481313
327.652222,1.481039,3.27652E-07,1.481039
329.243774,1.480768,3.29244E-07,1.480768
330.835388,1.480498,3.30835E-07,1.480498
332.427063,1.48023,3.32427E-07,1.48023
334.018799,1.479965,3.34019E-07,1.479965
335.610596,1.479702,3.35611E-07,1.479702
337.202454,1.479442,3.37202E-07,1.479442
338.794342,1.479183,3.38794E-07,1.479183
340.386292,1.478926,3.40386E-07,1.478926
341.978302,1.478672,3.41978E-07,1.478672
343.570374,1.47842,3.4357E-07,1.47842
345.162476,1.47817,3.45162E-07,1.47817
346.754639,1.477923,3.46755E-07,1.477923
348.346832,1.477677,3.48347E-07,1.477677
349.939087,1.477434,3.49939E-07,1.477434
351.531403,1.477192,3.51531E-07,1.477192
353.123749,1.476953,3.53124E-07,1.476953
354.716156,1.476716,3.54716E-07,1.476716
356.308624,1.476481,3.56309E-07,1.476481
357.901093,1.476248,3.57901E-07,1.476248
359.493652,1.476017,3.59494E-07,1.476017
361.086243,1.475788,3.61086E-07,1.475788
362.678864,1.475561,3.62679E-07,1.475561
364.271515,1.475336,3.64272E-07,1.475336
365.864227,1.475114,3.65864E-07,1.475114
367.45697,1.474893,3.67457E-07,1.474893
369.049774,1.474674,3.6905E-07,1.474674
370.642609,1.474457,3.70643E-07,1.474457
372.235474,1.474242,3.72235E-07,1.474242
373.828369,1.474029,3.73828E-07,1.474029
375.421326,1.473818,3.75421E-07,1.473818
377.014313,1.473609,3.77014E-07,1.473609
378.60733,1.473402,3.78607E-07,1.473402
380.200378,1.473196,3.802E-07,1.473196
381.793457,1.472992,3.81793E-07,1.472992
383.386566,1.472791,3.83387E-07,1.472791
384.979706,1.472591,3.8498E-07,1.472591
386.572906,1.472393,3.86573E-07,1.472393
388.166107,1.472196,3.88166E-07,1.472196
389.759338,1.472002,3.89759E-07,1.472002
391.352631,1.471809,3.91353E-07,1.471809
392.945953,1.471618,3.92946E-07,1.471618
394.539276,1.471428,3.94539E-07,1.471428
396.132629,1.471241,3.96133E-07,1.471241
397.726013,1.471055,3.97726E-07,1.471055
399.319427,1.47087,3.99319E-07,1.47087
400.912872,1.470688,4.00913E-07,1.470688
402.506317,1.470507,4.02506E-07,1.470507
404.099792,1.470327,4.041E-07,1.470327
405.693298,1.470149,4.05693E-07,1.470149
407.286835,1.469973,4.07287E-07,1.469973
408.880402,1.469799,4.0888E-07,1.469799
410.473969,1.469626,4.10474E-07,1.469626
412.067566,1.469454,4.12068E-07,1.469454
